title,artist,duration,date,popularity,danceability,tempo
Feel It Still,Portugal. The Man,163253,6/16/17,77,0.801,79.028
New Light,John Mayer,217426,7/16/21,76,0.826,123.932
Goodie Bag,Still Woozy,146390,11/5/17,76,0.739,138.263
Marlboro Nights,Lonely God,68522,6/28/18,76,0.466,175.797
I Think I Like When It Rains,WILLIS,278293,6/12/17,76,0.622,124.455
Honeypie,JAWNY,135581,10/27/20,76,0.74,115.035
Young Folks,Peter Bjorn and John,276693,1/1/06,75,0.699,138.185
Boys Will Be Bugs,Cavetown,329049,4/12/19,75,0.486,178.519
Freaking Out the Neighborhood,Mac DeMarco,173888,10/16/12,74,0.565,143.303
Sports,Beach Bunny,164165,1/1/18,73,0.231,186.142
New Flesh,Current Joys,167986,1/2/13,73,0.62,165.861
Breezeblocks,alt-J,227080,9/18/12,72,0.615,150.093
What You Know,Two Door Cinema Club,191706,2/17/10,72,0.561,139.001
Time to Pretend,MGMT,261000,12/14/07,72,0.438,100.99
Imagination,Foster The People,256266,6/21/19,72,0.744,94.988
Wet Dream,Wet Leg,140080,4/8/22,72,0.721,130.091
Kyoto,Phoebe Bridgers,184524,6/18/20,72,0.6,131.024
Maple Syrup,The Backseat Lovers,243529,1/27/19,71,0.543,153
Freakin' Out On the Interstate,Briston Maroney,251906,7/10/20,71,0.45,143.861
3 Nights,Dominic Fike,177666,10/16/18,71,0.815,151.891
Fluorescent Adolescent,Arctic Monkeys,173493,4/24/07,70,0.646,112.115
Ode to a Conversation Stuck in Your Throat,Del Water Gap,199232,10/8/21,70,0.57,87.533
One Day,Lovejoy,144375,5/8/21,70,0.343,183.136
Disco,Surf Curse,152760,6/12/19,70,0.473,173.083
Weekend Friend,Goth Babe,209454,1/19/19,70,0.409,110.187
My Type,Saint Motel,204811,8/16/14,69,0.595,118.001
Crash My Car,COIN,188306,2/21/20,69,0.244,183.577
Here It Goes Again,OK Go,179813,1/1/05,69,0.537,145.729
Last Train Home,John Mayer,187306,7/16/21,69,0.591,93.007
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,168030,4/27/21,69,0.39,90.021
Silver Lining,Mt. Joy,198600,3/2/18,69,0.541,144.218
"Dance, Baby!",boy pablo,198000,5/19/17,68,0.602,122.017
Lost In Yesterday,Tame Impala,249586,2/14/20,68,0.569,183.059
1901,Phoenix,193106,5/25/09,68,0.591,144.084
Left Hand Free,alt-J,173630,9/22/14,68,0.697,101.99
A-Punk,Vampire Weekend,137760,1/29/08,68,0.551,174.917
All I Think About Now,Pixies,187320,9/30/16,67,0.253,185.717
Undercover Martyn,Two Door Cinema Club,167773,2/17/10,67,0.442,159.867
Ghostride,Crumb,126120,6/14/19,67,0.665,87.057
Someday,The Strokes,183440,7/30/01,66,0.539,106.035
Chaise Longue,Wet Leg,196905,4/8/22,66,0.684,160.021
Social Cues,Cage The Elephant,219053,4/19/19,66,0.668,132.039
This Must Be The Place,Sure Sure,219260,1/12/18,66,0.886,115.026
Astrovan,Mt. Joy,186133,3/2/18,66,0.548,169.917
Seventeen,Sjowgren,225666,8/5/16,66,0.612,146.008
The Sun,Myd,207373,4/30/21,66,0.773,126.014
Campus,Vampire Weekend,176466,1/29/08,65,0.639,162.983
Listerine,Dayglow,215555,11/14/19,65,0.694,134.999
Temper Temper,Lime Cordiale,208980,10/13/17,65,0.713,130.047
Shake It Out,Florence + The Machine,277720,1/1/11,65,0.527,107.486
Float,HARBOUR,271137,9/2/19,64,0.555,144.728
Rawnald Gregory Erickson the Second,STRFKR,173693,9/23/08,65,0.9,95.508
Lisztomania,Phoenix,241640,5/25/09,64,0.486,195.154
Australia,The Shins,236711,1/23/07,64,0.416,169.902
Always Like This,Bombay Bicycle Club,245640,1/1/09,64,0.659,121.14
Anna Sun,WALK THE MOON,321280,6/19/12,64,0.472,140.034
Like or Like Like,Miniature Tigers,158653,9/22/09,63,0.752,96.077
Give Up Baby Go,Peach Pit,257006,3/4/22,63,0.683,96.729
Head In The Clouds,BabyJake,147893,7/31/20,63,0.777,138.98
Personal Lies,Djo,299546,9/13/19,63,0.618,110.049
Canary Islands,Goth Babe,204521,1/28/21,63,0.577,115.058
Your Life Your Time,Christian Leave,160257,1/15/21,63,0.532,159.034
1994,Cavetown,203521,9/9/22,63,0.425,124.826
You'll Understand When you're Older,Lovejoy,232177,10/14/21,62,0.531,163.944
I Don't Know,Sjowgren,195044,10/2/20,62,0.673,111.968
Peach Pit,Peach Pit,287080,6/27/18,63,0.515,123.969
Daft Pretty Boys,Bad Suns,187013,9/16/16,62,0.662,136.998
The Bottom of It,Fruit Bats,181400,6/21/19,62,0.631,155.987
Brazil,Declan McKenna,252306,12/4/15,62,0.689,121.062
Banquet,Bloc Party,196613,3/22/05,62,0.578,150.253
Unknown Song,Milky Chance,250521,1/21/22,62,0.74,118.026
Black Sheep,Metric,297459,8/10/10,62,0.509,124.014
Gloom,Djo,120808,7/25/22,62,0.827,140.972
Bitter,Palace,233360,11/4/16,61,0.203,78.554
Dark Days,Local Natives,180413,9/9/16,62,0.604,115.038
Fuzzybrain,Dayglow,219428,11/14/19,61,0.488,104.959
Dr�_m Girl,No Vacation,234606,7/15/15,61,0.192,172.752
Dope on a Rope,The Growlers,250320,9/30/16,61,0.42,145.965
23,Wallice,164782,2/23/21,61,0.576,133.686
Too Good,Arlo Parks,221000,1/29/21,61,0.718,95.917
Rose Pink Cadillac,DOPE LEMON,261911,5/28/21,61,0.746,100
Funky Galileo,Sure Sure,246200,3/6/20,61,0.802,110.995
Wolf,Yeah Yeah Yeahs,253026,9/30/22,0,0.576,109.033
im so happy,EKKSTACY,139146,9/30/22,0,0.545,95.014
Norfolk Hotel,Melody's Echo Chamber,274176,9/27/22,24,0.444,112.563
Body Paint,Arctic Monkeys,290584,9/29/22,0,0.56,144.745
Billie Toppy,Men I Trust,195289,9/28/22,0,0.676,168.996
It's Too Late,Lucy Dacus,197647,9/28/22,12,0.696,101.969
Turning Onto You,First Aid Kit,201826,9/30/22,0,0.558,159.896
California High,Sure Sure,231573,9/30/22,0,0.76,104.655
Breaking Ground,Hyd,199080,9/29/22,0,0.657,74.957
Arrow,Surf Curse,125546,9/28/22,0,0.285,158.673
Beep,M.I.A.,120626,9/30/22,0,0.775,101.97
If You Only Knew,Gabriels,252135,9/30/22,0,0.296,180.073
Kill Her Freak Out,Samia,260013,9/27/22,40,0.266,79.86
rien dire,Christine and the Queens,182000,9/26/22,40,0.633,99.95
Oceans of Darkness,The War On Drugs,215160,9/26/22,37,0.435,109.621
F.O.O.F.,Frankie Cosmos,128384,9/27/22,28,0.612,126.295
Nomatterday,Pixies,251450,9/30/22,0,0.275,149.923
Bugs,khai dreams,162575,9/28/22,14,0.63,161.085
Leaving The Canyons - Radio Edit,Kennebec,186000,9/27/22,5,0.453,175.92
Cry,Adam Melchor,229960,9/30/22,0,0.606,95.955
"Amour, Haine et Danger",Ang̬le,198986,9/29/22,0,0.808,113.007
fall at the same time,aldn,142666,9/30/22,0,0.732,134.905
Day By Day,grentperez,187850,9/30/22,0,0.617,162.036
Tag Along,Honeywhip,128293,9/28/22,0,0.879,104.98
Self Fulfilling Prophecy,Pretty Sick,229961,9/30/22,0,0.419,74.066
tough love,Surf Rock Is Dead,192903,9/30/22,0,0.295,154.948
rest,ghost orchard,146152,9/28/22,0,0.639,83.73
Baggage,j ember,162252,9/28/22,0,0.563,168.045
Kawakawa,hanbee,196000,9/30/22,0,0.291,66.199
BACKWARDS,RUNNER BOY,106046,9/30/22,0,0.538,85.996
Luna Moth,Maya Hawke,204135,9/21/22,56,0.578,73.43
Lonely One,Sure Sure,167066,9/23/22,48,0.589,130.059
Belinda Says,Alvvays,165445,9/22/22,51,0.349,118.909
Love On The Run,Broken Bells,423346,9/21/22,52,0.532,139.983
Sunflower,Tamino,263653,9/23/22,42,0.469,115.906
How It Ends,TOLEDO,187120,9/20/22,45,0.683,107.023
Chasing Ghosts,MorMor,179406,9/23/22,42,0.814,116.523
Words and Guitar,Sleater-Kinney,143348,9/23/22,49,0.543,164.435
Love Is Letting Go (feat. Diane Keaton),Ashe,154865,9/23/22,56,0.597,88.867
Inner Peace,Yellow Days,217746,9/21/22,48,0.55,144.378
Ecstasy,Divino Ni̱o,235114,9/23/22,37,0.674,107.999
So Ubuji,Makaya McCraven,181394,9/23/22,36,0.733,93.015
Summer Wind,Mon̩t Ngo,228777,9/21/22,33,0.392,134.963
Say It Now,Hannah Jadagu,220833,9/22/22,36,0.403,215.877
Relax and Run (feat. Erika de Casier & Eva Tolkin),Blood Orange,184600,9/16/22,57,0.706,119.563
Vertigo,Nick Hakim,218200,9/14/22,49,0.623,134.999
Someone Like You,Danielle Ponder,272020,9/16/22,51,0.633,112.996
Eggshells,Dehd,151149,9/13/22,51,0.305,183.937
Stonecatcher (feat. Phoebe Bridgers),Marcus Mumford,222493,9/16/22,54,0.478,87.92
Ovule,Bj̦rk,218154,9/14/22,51,0.408,127.675
PIRATE RADIO*,Jean Dawson,189440,9/16/22,56,0.421,114.882
Stay,Little Dragon,228727,9/16/22,56,0.734,80.002
Fairweather Friends,Alex Siegel,190714,9/14/22,45,0.75,102.976
What Do We Do Now?,Charlie Houston,247893,9/15/22,43,0.596,116.002
i just want to hide my face,EKKSTACY,132840,9/16/22,56,0.492,98.54
Topo (feat. sophie meiers & carpetgarden),Bien et Toi,188664,9/16/22,40,0.857,106.983
Silent Dream,Daniele Luppi,213458,9/16/22,49,0.528,101.746
Forgetting Delaney,Delaney Bailey,152226,9/16/22,48,0.487,93.946
ALL KINGS,Bipolar Sunshine,213905,9/15/22,39,0.408,124.985
Horse Girl,Nana Lourdes,186868,9/15/22,36,0.736,96.66
ANTIFREEZE,easy life,209310,9/14/22,59,0.652,90.001
Uptown,Quinn Christopherson,166226,9/16/22,37,0.843,109.021
Antibiotics,Lowertown,186741,9/15/22,43,0.471,184.097
Atopos,Bj̦rk,286903,9/6/22,55,0.59,175.889
Be with You,Totally Enormous Extinct Dinosaurs,247327,9/9/22,56,0.648,119.971
Fall First,Santigold,249426,9/9/22,53,0.629,139.039
2007,Miya Folick,249930,9/9/22,45,0.675,111.103
Run The Credits,Oliver Sim,261120,9/7/22,49,0.682,114.163
Half Life,Djo,227702,9/9/22,55,0.419,109.996
Miracles,Alex G,224253,9/8/22,56,0.658,140.005
Who Are You Now,Madison Cunningham,197972,9/9/22,51,0.737,119.032
Sleeping Through Sunshine,Cults,196853,9/9/22,47,0.541,120.057
So Clear,Hyd,180000,9/8/22,49,0.729,115.956
Greatest Hits,Jockstrap,267080,9/9/22,55,0.696,96.001
Ice V,King Gizzard & The Lizard Wizard,615939,9/7/22,60,0.684,110.05
Backwards Directions,Abby Sage,187072,9/7/22,48,0.852,114.999
No Te Quiero Perder,DannyLux,226636,9/2/22,64,0.508,93.65
Self Portrait,Surf Curse,212080,9/7/22,56,0.583,152.109
Kind of Love,The Undercover Dream Lovers,156470,9/9/22,42,0.58,102.059
Waiting Outside,Big Wild,220418,9/9/22,54,0.69,116.997
Nisemono,Ginger Root,181565,9/9/22,50,0.828,115.003
First Time Caller,Jaguar Sun,317279,9/9/22,48,0.669,125.999
Jolene From Her Own Perspective,Okay Kaya,207253,9/7/22,44,0.625,108.646
Read Mine,j ember,192553,9/7/22,41,0.497,147.922
Is It Worth It Now?,Jordana,204521,9/8/22,46,0.637,91
OUT OF CONTEXT,Devon,162666,7/15/22,39,0.798,90.038
Sandra,Yb.,234704,9/7/22,42,0.453,183.999
No One Like You,Public Library Commute,170920,9/9/22,42,0.713,120.042
Apologizing,Celler Dwellers,221181,8/29/22,39,0.38,174.835
Aftershook,Frankie Cosmos,205890,8/30/22,48,0.54,127.453
Rose Pink Cadillac - LARRY PINK THE HUMAN Remix,DOPE LEMON,250160,8/30/22,55,0.608,104.994
Break!,Fazerdaze,173133,8/30/22,43,0.737,140.034
Bad Thing,Miya Folick,202219,8/26/22,52,0.661,120.003
Midnight Legend,Special Interest,204873,8/31/22,46,0.664,119.917
Mood Hoover,Connie Constance,194773,8/31/22,49,0.732,139.01
Everybody's Cool,Two Door Cinema Club,262356,9/2/22,57,0.695,106.018
Buena Park,Teenage Priest,220123,8/31/22,47,0.612,100.045
All Night Stand,Luke Sital-Singh,233200,9/2/22,40,0.786,93.972
You Don't Own Me,Tamino,260135,9/23/22,32,0.353,117.78
Knocking on Wood,Worry Club,251013,9/1/22,42,0.342,121.758
bodies,fearofmakingout,182475,8/31/22,41,0.592,102.952
Be Careful With Yourself,Julia Jacklin,227841,8/23/22,48,0.537,100.199
siente m��s,Kevin Kaarl,240000,8/25/22,71,0.532,85.956
Seasons Change,MorMor,149524,8/25/22,50,0.787,131.947
Domino,Amtrac,237173,8/26/22,50,0.707,159.968
FULL TIME LOVER,Eyedress,120078,8/26/22,50,0.802,123.827
you can't blame me,Teen Suicide,125500,8/26/22,40,0.112,94.669
i want to die in your arms,EKKSTACY,136506,8/26/22,54,0.451,175.109
complex (demo),Katie Gregson-MacLeod,256107,8/26/22,76,0.384,95.102
Beautiful Stranger,Laufey,201266,8/26/22,60,0.61,84.018
Only The Lonely,Danielle Ponder,232297,8/26/22,49,0.387,171.827
All You Do,Magdalena Bay,268374,8/24/22,56,0.667,114.974
Cold,Stella Donnelly,276000,8/26/22,44,0.607,119.962
Faded Like A Feeling,Tegan and Sara,202000,8/24/22,49,0.55,135.056
i used to,isomonstrosity,188150,8/23/22,43,0.23,96.867
Someone to Love,Drugdealer,236666,8/24/22,47,0.774,78.305
MEMORY,Whitney,233794,9/16/22,45,0.459,103.094
Splinter,FIG,167131,8/25/22,42,0.523,179.946
Desert,Moglii,166698,8/24/22,39,0.53,82.534
jardin,Pomme,292226,8/25/22,57,0.704,126.048
Aluminum,Daisy the Great,211956,8/24/22,46,0.664,155.169
Over the Hill,Ginger Root,167771,8/24/22,51,0.766,92.006
Dressed In Black,Ezra Furman,209409,8/26/22,40,0.44,106.952
Blue,Big Wild,244304,8/24/22,49,0.538,120.138
Hello World,The Front Bottoms,271013,8/26/22,51,0.68,118.998
back and forth,Surf Rock Is Dead,169086,8/26/22,39,0.492,142.104
Beyond the Grotto,Overpade,165365,8/26/22,40,0.797,163.951
Sins,Hala,196842,8/25/22,36,0.617,142.023
Sepsis,Blondshell,228524,8/18/22,47,0.568,136.014
Sad Disco,flipturn,227213,8/19/22,52,0.722,123.028
THREE HEADS*,Jean Dawson,171842,8/19/22,59,0.564,139.991
Smithereens (with Rachel Chinouriri),Boyish,163823,8/19/22,50,0.557,109.503
Charlie,Alex Siegel,185816,8/17/22,51,0.661,86.004
Broken,Hot Chip,204545,8/19/22,54,0.662,109.973
ANTIGRAVITY,KUNZITE,113073,8/17/22,46,0.545,92.085
Dancing Through The Mental Breakdown,Charlie Burg,256200,8/19/22,44,0.679,129.982
Rosyln,Bon Iver,289560,10/9/09,77,0.329,159.719
The Night We Met,Lord Huron,208211,4/7/15,78,0.545,86.997
Cry,Cigarettes After Sex,256800,10/25/19,77,0.409,142.823
Strange,Celeste,255986,1/29/21,74,0.286,70.743
Possibility,Lykke Li,306440,10/9/09,67,0.285,117.813
Savior Complex,Phoebe Bridgers,241640,6/18/20,70,0.377,128.999
when the party's over,Billie Eilish,196077,3/29/19,83,0.367,82.642
Glimpse of Us,Joji,233456,6/10/22,95,0.44,169.914
